season,week,player_id,receiver,targets,avg_air_yards,avg_cpoe,target_quality_score,td_rate,data_source
2018,1,00-0033871,C.Davis,13,8.615385,-17.004549,-0.5235618,0.0,pbp_proxy
2018,1,00-0033879,O.Howard,2,18.0,44.26299,1.8781223,0.0,pbp_proxy
2018,1,00-0033881,E.Engram,5,4.0,-34.289814,-1.0796506,0.0,pbp_proxy
2018,1,00-0033885,D.Njoku,7,9.428572,-25.068869,-0.9097197,0.0,pbp_proxy
2018,1,00-0033891,Z.Jones,6,9.5,-17.121996,-0.59639937,0.0,pbp_proxy
2018,1,00-0033893,D.Cook,7,-2.2857144,6.0823755,0.2557756,0.0,pbp_proxy
2018,1,00-0033897,J.Mixon,7,-3.0,-13.023363,-0.60423565,0.0,pbp_proxy
2018,1,00-0033906,A.Kamara,12,5.8333335,6.1900315,0.1798974,0.083333336,pbp_proxy
2018,1,00-0033908,C.Kupp,9,9.222222,-5.6970687,-0.12769046,0.11111111,pbp_proxy
2018,1,00-0033911,T.Taylor,1,28.0,-28.593424,-1.1259353,0.0,pbp_proxy
2018,1,00-0033921,C.Godwin,4,18.25,20.69669,0.86128926,0.25,pbp_proxy
2018,1,00-0033923,K.Hunt,1,0.0,-35.13275,-1.0961267,0.0,pbp_proxy
2018,1,00-0033932,K.Golladay,12,9.583333,-10.836872,-0.43059242,0.0,pbp_proxy
2018,1,00-0033933,C.Williams,3,15.0,-60.385487,-1.8359464,0.0,pbp_proxy
2018,1,00-0033948,J.Williams,2,14.0,-58.68007,-1.8063656,0.0,pbp_proxy
2018,1,00-0033950,W.Gallman,2,0.0,15.635681,0.3880928,0.0,pbp_proxy
2018,1,00-0034109,P.Lindsay,3,-0.33333334,-9.370563,-0.08537725,0.33333334,pbp_proxy
2018,1,00-0034159,W.Dissly,5,16.4,8.876457,0.6376708,0.2,pbp_proxy
2018,1,00-0034164,T.Cannon,1,6.0,27.28846,1.1938456,0.0,pbp_proxy
2018,1,00-0034270,T.Conklin,1,0.0,21.524513,0.63473976,0.0,pbp_proxy
2018,1,00-0034348,C.Sutton,5,13.4,-19.759108,-0.60116065,0.0,pbp_proxy
2018,1,00-0034349,K.Johnson,3,-0.33333334,12.911629,0.30751896,0.0,pbp_proxy
2018,1,00-0034351,D.Goedert,3,12.666667,-26.927917,-1.3755664,0.0,pbp_proxy
2018,1,00-0034353,A.Miller,3,2.6666667,-7.364577,-0.087619446,0.0,pbp_proxy
2018,1,00-0034364,J.Akins,2,5.5,25.455559,0.56637514,0.0,pbp_proxy
2018,1,00-0034365,I.Thomas,2,-4.0,13.836932,0.1677003,0.0,pbp_proxy
2018,1,00-0034367,N.Hines,9,-0.5555556,-3.1310697,-0.15622656,0.0,pbp_proxy
2018,1,00-0034400,J.Wilkins,3,-1.6666666,19.202723,0.6178368,0.0,pbp_proxy
2018,1,00-0034420,J.Thomas,2,11.0,7.7489834,0.4460694,0.0,pbp_proxy
2018,1,00-0034510,R.Foster,2,32.5,-31.354364,-0.31714472,0.0,pbp_proxy
2018,1,00-0034631,V.Smith,2,44.0,-25.001938,-0.43218392,0.0,pbp_proxy
2018,1,00-0034681,C.Edmonds,4,1.0,23.812567,0.5761885,0.0,pbp_proxy
2018,1,00-0034750,R.Penny,5,1.4,9.14034,0.19016941,0.0,pbp_proxy
2018,1,00-0034753,M.Andrews,4,8.75,5.943839,0.13896266,0.0,pbp_proxy
2018,1,00-0034764,M.Gallup,1,8.0,30.142647,0.86086136,0.0,pbp_proxy
2018,1,00-0034765,T.Smith,1,20.0,-53.4446,-1.5538671,0.0,pbp_proxy
2018,1,00-0034772,A.Callaway,1,16.0,-47.109585,-1.3520663,0.0,pbp_proxy
2018,1,00-0034775,C.Kirk,3,4.5,-29.470106,-0.7946265,0.0,pbp_proxy
2018,1,00-0034829,M.Gesicki,2,7.0,0.50709534,-0.7379727,0.0,pbp_proxy
2018,1,00-0034837,C.Ridley,2,10.0,-68.283745,-2.0545723,0.0,pbp_proxy
2018,1,00-0034844,S.Barkley,6,-1.6666666,-41.824654,-1.5197401,0.0,pbp_proxy
2018,1,00-0034860,D.Pettis,5,20.2,-8.428575,-0.20818524,0.2,pbp_proxy
2018,2,00-0021547,A.Gates,1,5.0,-40.33814,-1.6988662,0.0,pbp_proxy
2018,2,00-0022921,L.Fitzgerald,5,10.0,1.6221367,0.07367516,0.0,pbp_proxy
2018,2,00-0022943,B.Watson,5,4.0,-12.3313465,-0.54325664,0.0,pbp_proxy
2018,2,00-0023500,F.Gore,1,3.0,18.641865,1.1521277,0.0,pbp_proxy
2018,2,00-0024221,V.Davis,1,6.0,42.369617,1.167717,0.0,pbp_proxy
2018,2,00-0024243,M.Lewis,1,-3.0,-56.10855,-1.759963,0.0,pbp_proxy
2018,2,00-0024334,B.Marshall,6,8.5,-1.4952002,-0.17316508,0.0,pbp_proxy
2018,2,00-0025394,A.Peterson,3,-1.0,19.296618,0.5348864,0.0,pbp_proxy
2018,2,00-0025396,T.Ginn,7,19.142857,0.5019046,0.046596084,0.0,pbp_proxy
2018,2,00-0025399,M.Lynch,2,0.0,30.113892,0.8556148,0.0,pbp_proxy
2018,2,00-0026035,D.Amendola,4,4.5,21.37221,0.64185154,0.0,pbp_proxy
2018,2,00-0026176,J.Nelson,4,10.5,-10.982105,-0.3995446,0.0,pbp_proxy
2018,2,00-0026189,D.Jackson,4,21.75,52.488163,2.3138015,0.25,pbp_proxy
2018,2,00-0026345,P.Garcon,4,12.0,35.127373,1.1650783,0.0,pbp_proxy
2018,2,00-0026986,M.Crabtree,10,9.0,-19.749851,-0.7949129,0.0,pbp_proxy
2018,2,00-0027029,L.McCoy,4,-4.5,11.424107,0.34386858,0.0,pbp_proxy
2018,2,00-0027061,J.Cook,4,5.75,26.79992,0.8560414,0.0,pbp_proxy
2018,2,00-0027215,L.Paulsen,1,-2.0,12.221003,0.42202055,0.0,pbp_proxy
2018,2,00-0027325,L.Blount,1,-6.0,12.616181,0.054885756,0.0,pbp_proxy
2018,2,00-0027531,C.Ivory,1,0.0,-73.088104,-2.2912576,0.0,pbp_proxy
2018,2,00-0027656,R.Gronkowski,4,11.25,-5.6360054,-0.1848784,0.0,pbp_proxy
2018,2,00-0027685,E.Sanders,4,20.5,55.015236,2.0336988,0.0,pbp_proxy
2018,2,00-0027696,J.Graham,8,15.0,17.967432,0.69247234,0.0,pbp_proxy
2018,2,00-0027793,A.Brown,17,11.294118,-8.795998,-0.2854076,0.0,pbp_proxy
2018,2,00-0027874,De.Thomas,11,9.090909,-22.94002,-0.6588364,0.0,pbp_proxy
2018,2,00-0027891,G.Tate,13,6.923077,-14.242359,-0.4362215,0.0,pbp_proxy
2018,2,00-0027925,J.Develin,1,0.0,-75.177315,-2.3372092,0.0,pbp_proxy
2018,2,00-0027942,A.Green,9,10.111111,2.9024944,0.22271012,0.33333334,pbp_proxy
2018,2,00-0027944,J.Jones,9,21.666666,3.1665456,0.18537472,0.0,pbp_proxy
2018,2,00-0027981,K.Rudolph,8,4.125,12.894905,0.42849177,0.0,pbp_proxy
2018,2,00-0027985,L.Kendricks,1,4.0,25.946062,0.6363499,0.0,pbp_proxy
